macrostate ID,microstate ID,smiles,charge state,nHydrogens
SM04,micro002,c1ccc2c(c1)c(=[NH+]Cc3ccc(cc3)Cl)nc[nH]2,1,2
SM04,micro003,Clc1ccc(CNc2ncnc3ccccc23)cc1,0,1
SM04,micro004,c1ccc2c(c1)c(=NCc3ccc(cc3)Cl)nc[nH]2,0,1
SM04,micro005,Clc1ccc(C[N-]c2ncnc3ccccc23)cc1,-1,0
SM04,micro006,Clc1ccc(CNc2[nH+]cnc3ccccc23)cc1,1,2
SM04,micro008,Clc1ccc(C[NH2+]c2ncnc3ccccc23)cc1,1,2
SM04,micro009,Clc1ccc(C/N=c2/[nH]cnc3ccccc23)cc1,0,1
SM04,micro013,Clc1ccc(C[NH2+]c2nc[nH+]c3ccccc23)cc1,2,3
SM04,micro014,Clc1ccc(CNc2[nH+]c[nH+]c3ccccc23)cc1,2,3
SM04,micro015,Clc1ccc(C[NH2+]c2[nH+]cnc3ccccc23)cc1,2,3
SM04,micro016,Clc1ccc(C[NH2+]c2[nH+]c[nH+]c3ccccc23)cc1,3,4
