macrostate ID,microstate ID,smiles,charge state,nHydrogens
SM24,micro001,COc1ccc(cc1)c2c3c(=NCCO)[nH]c[nH+]c3oc2c4ccc(cc4)OC,1,3
SM24,micro002,COc1ccc(-c2oc3ncnc([N-]CCO)c3c2-c2ccc(OC)cc2)cc1,-1,1
SM24,micro004,COc1ccc(-c2oc3ncnc(NCC[OH2+])c3c2-c2ccc(OC)cc2)cc1,1,3
SM24,micro005,COc1ccc(cc1)c2c\3c([nH]cn/c3=N\CC[OH2+])oc2c4ccc(cc4)OC,1,3
SM24,micro006,COc1ccc(-c2oc3ncnc(NCCO)c3c2-c2ccc(OC)cc2)cc1,0,2
SM24,micro007,COc1ccc(cc1)c2c3c(=NCCO)[nH]cnc3oc2c4ccc(cc4)OC,0,2
SM24,micro009,COc1ccc(-c2oc3ncnc([NH2+]CC[O-])c3c2-c2ccc(OC)cc2)cc1,0,2
SM24,micro010,COc1ccc(cc1)c2c3c([nH+]cnc3NCCO)oc2c4ccc(cc4)OC,1,3
SM24,micro011,COc1ccc(cc1)c2c3c(=[NH+]CCO)[nH]cnc3oc2c4ccc(cc4)OC,1,3
SM24,micro013,COc1ccc(-c2oc3nc[nH+]c(NCC[O-])c3c2-c2ccc(OC)cc2)cc1,0,2
SM24,micro014,COc1ccc(cc1)c2c3/c(=N/CC[OH2+])/[nH]cnc3oc2c4ccc(cc4)OC,1,3
SM24,micro017,COc1ccc(-c2oc3ncnc([NH2+]CCO)c3c2-c2ccc(OC)cc2)cc1,1,3
SM24,micro020,COc1ccc(-c2oc3[nH+]c[nH+]c(NCCO)c3c2-c2ccc(OC)cc2)cc1,2,4
SM24,micro022,COc1ccc(-c2oc3nc[nH+]c(NCC[OH2+])c3c2-c2ccc(OC)cc2)cc1,2,4
SM24,micro023,COc1ccc(cc1)c2c\3c([nH]cn/c3=[NH+]\CC[O-])oc2c4ccc(cc4)OC,0,2
SM24,micro024,COc1ccc(-c2oc3ncnc([N-]CC[OH2+])c3c2-c2ccc(OC)cc2)cc1,0,2
SM24,micro025,COc1ccc(cc1)c2c\3c([nH]cn/c3=[NH+]\CC[OH2+])oc2c4ccc(cc4)OC,2,4
SM24,micro027,COc1ccc(-c2oc3ncnc(NCC[O-])c3c2-c2ccc(OC)cc2)cc1,-1,1
SM24,micro028,COc1ccc(cc1)c2c\3c([nH]cn/c3=N\CCO)oc2c4ccc(cc4)OC,0,2
SM24,micro029,COc1ccc(cc1)c2c3c([nH+]cnc3[NH2+]CC[O-])oc2c4ccc(cc4)OC,1,3
SM24,micro030,COc1ccc(-c2oc3nc[nH+]c([NH2+]CC[O-])c3c2-c2ccc(OC)cc2)cc1,1,3
SM24,micro031,COc1ccc(-c2oc3[nH+]c[nH+]c(NCC[O-])c3c2-c2ccc(OC)cc2)cc1,1,3
SM24,micro032,COc1ccc(cc1)c2c3c([nH+]cnc3[NH2+]CCO)oc2c4ccc(cc4)OC,2,4
SM24,micro033,COc1ccc(-c2oc3nc[nH+]c([NH2+]CCO)c3c2-c2ccc(OC)cc2)cc1,2,4
SM24,micro034,COc1ccc(-c2oc3[nH+]c[nH+]c([NH2+]CC[O-])c3c2-c2ccc(OC)cc2)cc1,2,4
SM24,micro035,COc1ccc(-c2oc3[nH+]c[nH+]c([NH2+]CCO)c3c2-c2ccc(OC)cc2)cc1,3,5
