macrostate ID,microstate ID,smiles,charge state,nHydrogens
SM10,micro002,c1ccc(cc1)/C(=N/C=C(\Nc2nc3ccccc3s2)/[O-])/[O-],-2,1
SM10,micro003,O=C(CNC(=[OH+])c1ccccc1)Nc1nc2ccccc2s1,1,3
SM10,micro004,c1ccc(cc1)/C(=N/CC(=O)Nc2nc3ccccc3s2)/[O-],-1,1
SM10,micro005,c1ccc(cc1)/C(=N/C/C(=[NH+]/c2nc3ccccc3s2)/O)/[O-],0,2
SM10,micro006,O=C(CNC(=O)c1ccccc1)N=c1[nH]c2ccccc2s1,0,2
SM10,micro007,O=C(NCC(=[OH+])[N-]c1nc2ccccc2s1)c1ccccc1,0,2
SM10,micro008,c1ccc(cc1)C(=[OH+])NC/C(=N/c2nc3ccccc3s2)/[O-],0,2
SM10,micro009,O=C(N[CH-]C(=[OH+])/N=c1\[nH]c2ccccc2s1)c1ccccc1,0,3
SM10,micro010,O=C(C[NH2+]C(=O)c1ccccc1)Nc1nc2ccccc2s1,1,3
SM10,micro011,c1ccc(cc1)C(=O)[NH2+]C/C(=N/c2nc3ccccc3s2)/[O-],0,2
SM10,micro013,c1ccc(cc1)C(=O)N/C=C(\N=c\2/[nH]c3ccccc3s2)/[O-],-1,2
SM10,micro014,c1ccc(cc1)/C(=N/C=C(\Nc2nc3ccccc3s2)/O)/[O-],-1,2
SM10,micro015,O=C(N[CH-]C(=[OH+])Nc1nc2ccccc2s1)c1ccccc1,0,3
SM10,micro016,O=C(C[NH2+]C(=O)c1ccccc1)/N=c1\[nH]c2ccccc2s1,1,3
SM10,micro017,c1ccc(cc1)C(=O)N/C=C(\Nc2nc3ccccc3s2)/[O-],-1,2
SM10,micro018,c1ccc(cc1)/C(=N/C/C(=N/c2nc3ccccc3s2)/[O-])/[O-],-2,0
SM10,micro019,c1ccc(cc1)C(=[OH+])N/C=C(\Nc2nc3ccccc3s2)/[O-],0,3
SM10,micro020,c1ccc(cc1)/C(=N/CC(=O)/N=c/2\[nH]c3ccccc3s2)/[O-],-1,1
SM10,micro021,c1ccc(cc1)/C(=N/C=C(\Nc2[nH+]c3ccccc3s2)/[O-])/[O-],-1,2
SM10,micro022,c1ccc(cc1)/C(=N/C=C(\[N-]c2nc3ccccc3s2)/[O-])/[O-],-3,0
SM10,micro023,c1ccc(cc1)C(=O)NC/C(=N/c2nc3ccccc3s2)/[O-],-1,1
SM10,micro024,O=C(CNC(=[OH+])c1ccccc1)/N=c1\[nH]c2ccccc2s1,1,3
SM10,micro026,O=C(N/C=C(/O)Nc1[nH+]c2ccccc2s1)c1ccccc1,1,4
SM10,micro027,c1ccc(cc1)C(=O)N/C=C(\[N-]c2nc3ccccc3s2)/[O-],-2,1
SM10,micro028,O=C(CNC(=O)c1ccccc1)Nc1[nH+]c2ccccc2s1,1,3
SM10,micro030,c1ccc(cc1)/C(=N/C=C(\N=c\2/[nH]c3ccccc3s2)/[O-])/[O-],-2,1
SM10,micro031,c1ccc(cc1)C(=O)N/C=C(\Nc2[nH+]c3ccccc3s2)/[O-],0,3
SM10,micro032,O=C(NC/C(O)=[NH+]/c1nc2ccccc2s1)c1ccccc1,1,3
SM10,micro033,O=C(NCC(=[OH+])/N=c1\[nH]c2ccccc2s1)c1ccccc1,1,3
SM10,micro034,O=C(N[CH-]C(=[OH+])[N-]c1nc2ccccc2s1)c1ccccc1,-1,2
SM10,micro036,O=C(CNC(=O)c1ccccc1)Nc1nc2ccccc2s1,0,2
SM10,micro037,O=C(C[N-]C(=O)c1ccccc1)Nc1[nH+]c2ccccc2s1,0,2
SM10,micro038,O=C(C[NH2+]C(=O)c1ccccc1)Nc1[nH+]c2ccccc2s1,2,4
