macrostate ID,microstate ID,smiles,charge state,nHydrogens
SM07,micro002,c1ccc(cc1)CN=c2c3ccccc3[nH]cn2,0,1
SM07,micro003,c1ccc(C/N=c2\[nH]cnc3ccccc23)cc1,0,1
SM07,micro004,c1ccc(cc1)CNc2c3ccccc3ncn2,0,1
SM07,micro006,c1ccc(cc1)C/[NH+]=c/2\c3ccccc3[nH]cn2,1,2
SM07,micro007,c1ccc(CNc2[nH+]cnc3ccccc23)cc1,1,2
SM07,micro011,c1ccc(cc1)C[NH2+]c2c3ccccc3ncn2,1,2
SM07,micro012,c1ccc(cc1)C[N-]c2c3ccccc3ncn2,-1,0
SM07,micro013,c1ccc(cc1)C[NH2+]c2c3ccccc3[nH+]cn2,2,3
SM07,micro014,c1ccc(CNc2[nH+]c[nH+]c3ccccc23)cc1,2,3
SM07,micro015,c1ccc(C[NH2+]c2[nH+]cnc3ccccc23)cc1,2,3
SM07,micro016,c1ccc(C[NH2+]c2[nH+]c[nH+]c3ccccc23)cc1,3,4
